Tau_Stagnation,Epsilon_Clamp,Mean_Best_Fitness,Mean_Aborts,Mean_Exec_Time_ms
1.0e-05,0.00,13.750381,0.0,767.05
1.0e-05,0.01,13.750381,0.0,603.82
1.0e-05,0.10,13.750381,0.0,634.89
1.0e-05,0.50,13.750381,0.0,623.88
1.0e-05,1.00,13.750381,0.0,747.51
1.0e-04,0.00,13.750381,0.0,651.79
1.0e-04,0.01,13.750381,0.0,873.03
1.0e-04,0.10,13.750381,0.0,709.22
1.0e-04,0.50,13.750381,0.0,603.16
1.0e-04,1.00,13.750381,0.0,666.05
1.0e-03,0.00,13.750381,0.0,788.14
1.0e-03,0.01,13.750381,0.0,751.98
1.0e-03,0.10,13.750381,0.0,558.04
1.0e-03,0.50,13.750381,0.0,627.49
1.0e-03,1.00,13.750381,0.0,555.03
1.0e-02,0.00,13.750381,0.0,563.89
1.0e-02,0.01,13.750381,0.0,601.31
1.0e-02,0.10,13.750381,0.0,575.10
1.0e-02,0.50,13.750381,0.0,573.79
1.0e-02,1.00,13.750381,0.0,554.33
1.0e-01,0.00,14.589435,0.2,569.42
1.0e-01,0.01,14.589435,0.2,677.77
1.0e-01,0.10,14.589435,0.2,586.93
1.0e-01,0.50,14.589435,0.2,552.79
1.0e-01,1.00,14.589435,0.2,550.07
